Kind,Name,AvgCyclomatic,CountLine
File,"HsqlDB.java",2,113
File,"INIBuilderParameters.java",0,44
File,"INIBuilderParametersImpl.java",1,75
File,"INIBuilderProperties.java",1,72
File,"INIConfiguration.java",2,1150
File,"ImmutableConfiguration.java",0,730
File,"ImmutableConfigurationInvocationHandler.java",1,159
File,"ImmutableHierarchicalConfiguration.java",0,159
File,"ImmutableNode.java",1,671
File,"InMemoryNodeModel.java",1,1416
File,"InMemoryNodeModelSupport.java",0,42
File,"Initializable.java",0,51
File,"InputStreamSupport.java",0,54
File,"InterpolationTestHelper.java",1,314
File,"InterpolatorSpecification.java",1,312
File,"JNDIConfiguration.java",2,490
File,"JSONConfiguration.java",1,115
File,"JndiBuilderParameters.java",0,41
File,"JndiBuilderParametersImpl.java",1,64
File,"JndiBuilderProperties.java",0,57
File,"LegacyListDelimiterHandler.java",2,289
File,"ListDelimiterHandler.java",1,130
File,"LockMode.java",1,51
File,"Logging.java",1,273
File,"Lookup.java",0,60
File,"ManagedReloadingDetector.java",1,74
File,"ManagedReloadingDetectorMBean.java",0,32
File,"MapConfiguration.java",1,289
File,"MergeCombiner.java",4,175
File,"MockInitialContextFactory.java",1,241
File,"ModelTransaction.java",1,1111
File,"MultiFileBuilderParameters.java",0,42
File,"MultiFileBuilderParametersImpl.java",1,172
File,"MultiFileBuilderProperties.java",0,60
File,"MultiFileConfigurationBuilder.java",1,558
File,"MultiFileConfigurationBuilderProvider.java",1,229
File,"MultiWrapDynaBean.java",1,187
File,"MultiWrapDynaClass.java",1,111
File,"NoOpSynchronizer.java",1,64
File,"NodeAddData.java",1,153
File,"NodeCombiner.java",1,141
File,"NodeHandler.java",0,192
File,"NodeHandlerDecorator.java",1,141
File,"NodeKeyResolver.java",0,110
File,"NodeMatcher.java",0,56
File,"NodeModel.java",0,152
File,"NodeModelSupport.java",0,39
File,"NodeNameMatchers.java",1,67
File,"NodeSelector.java",1,199
File,"NodeStructureHelper.java",1,616
File,"NodeTracker.java",1,571
File,"NodeTreeWalker.java",2,185
File,"NodeUpdateData.java",1,161
File,"NonCloneableConfiguration.java",1,79
File,"NonStringTestHolder.java",1,160
File,"OverrideCombiner.java",3,147
File,"Parameters.java",1,368
File,"ParametersBeanTestImpl.java",1,68
File,"PatternSubtreeConfigurationWrapper.java",1,494
File,"PeriodicReloadingTrigger.java",1,237
File,"PrefixedKeysIterator.java",1,128
File,"PropertiesBuilderParameters.java",0,44
File,"PropertiesBuilderParametersImpl.java",1,89
File,"PropertiesBuilderProperties.java",0,74
File,"PropertiesConfiguration.java",1,1800
