Kind,Name,AvgCyclomatic,CountLine
File,"DualHashBidiMapTest.java",1,59
File,"DualLinkedHashBidiMap.java",1,103
File,"DualLinkedHashBidiMapTest.java",1,64
File,"DualTreeBidiMap.java",1,416
File,"DualTreeBidiMap2Test.java",1,167
File,"DualTreeBidiMapTest.java",1,60
File,"EditCommand.java",1,81
File,"EditScript.java",1,132
File,"EmptyIterator.java",1,75
File,"EmptyListIterator.java",1,76
File,"EmptyMapIterator.java",1,55
File,"EmptyMapMutator.java",1,49
File,"EmptyOrderedIterator.java",1,54
File,"EmptyOrderedMapIterator.java",1,55
File,"EmptySetMutator.java",1,53
File,"EntrySetMapIterator.java",1,175
File,"EntrySetToMapIteratorAdapter.java",1,122
File,"EnumerationIterator.java",1,140
File,"EnumerationUtils.java",1,95
File,"EnumerationUtilsTest.java",1,110
File,"EqualPredicate.java",1,121
File,"EqualPredicateTest.java",1,67
File,"Equator.java",0,42
File,"ExceptionClosure.java",1,72
File,"ExceptionFactory.java",1,72
File,"ExceptionPredicate.java",1,73
File,"ExceptionTransformer.java",1,74
File,"Factory.java",0,43
File,"FactoryTransformer.java",1,86
File,"FactoryUtils.java",1,150
File,"FactoryUtilsTest.java",1,275
File,"FalsePredicate.java",1,71
File,"FilterIterator.java",1,185
File,"FilterIteratorTest.java",1,224
File,"FilterListIterator.java",1,285
File,"FilterListIteratorTest.java",1,447
File,"FixedOrderComparator.java",2,299
File,"FixedOrderComparatorTest.java",1,244
File,"FixedSizeList.java",1,193
File,"FixedSizeListTest.java",1,86
File,"FixedSizeMap.java",1,173
File,"FixedSizeMapTest.java",1,74
File,"FixedSizeSortedMap.java",1,192
File,"FixedSizeSortedMapTest.java",1,88
File,"Flat3Map.java",3,1283
File,"Flat3MapTest.java",1,808
File,"FluentIterable.java",1,503
File,"FluentIterableTest.java",1,552
File,"ForClosure.java",1,105
File,"FunctorException.java",1,71
File,"FunctorUtils.java",2,207
File,"Get.java",0,95
File,"GrowthList.java",1,188
File,"GrowthListTest.java",1,168
File,"HashBag.java",1,85
File,"HashBagTest.java",1,57
File,"HashMultiSet.java",1,84
File,"HashMultiSetTest.java",1,59
File,"HashSetValuedHashMap.java",1,132
File,"HashSetValuedHashMapTest.java",1,135
File,"HashedMap.java",1,123
File,"HashedMapTest.java",1,79
File,"IdentityMap.java",1,206
File,"IdentityPredicate.java",1,84
File,"IfClosure.java",1,156
File,"IfTransformer.java",1,153
File,"IndexedCollection.java",1,259
File,"IndexedCollectionTest.java",1,167
File,"InsertCommand.java",1,56
File,"InstanceofPredicate.java",1,83
File,"InstantiateFactory.java",2,139
File,"InstantiateTransformer.java",2,130
File,"InvokerTransformer.java",3,146
File,"IterableGet.java",0,48
File,"IterableMap.java",0,43
File,"IterableSortedMap.java",0,30
File,"IterableUtils.java",1,1101
File,"IterableUtilsTest.java",1,630
File,"IteratorChain.java",1,280
File,"IteratorChainTest.java",1,178
File,"IteratorEnumeration.java",1,96
File,"IteratorEnumerationTest.java",2,53
File,"IteratorIterable.java",1,135
File,"IteratorIterableTest.java",1,82
File,"IteratorUtils.java",2,1545
File,"IteratorUtilsTest.java",2,1168
File,"KeepCommand.java",1,56
File,"KeyAnalyzer.java",1,149
File,"KeyValue.java",0,46
File,"LRUMap.java",1,532
File,"LRUMapTest.java",2,933
File,"LazyIteratorChain.java",2,152
File,"LazyIteratorChainTest.java",2,201
File,"LazyList.java",2,140
File,"LazyMap.java",1,175
File,"LazyMapTest.java",1,105
File,"LazySortedMap.java",1,164
File,"LazySortedMapTest.java",1,132
File,"LinkedMap.java",1,311
File,"LinkedMapTest.java",1,306
File,"ListIteratorWrapper.java",2,271
File,"ListIteratorWrapper2Test.java",2,206
File,"ListIteratorWrapperTest.java",2,229
File,"ListOrderedMap.java",1,803
File,"ListOrderedMap2Test.java",1,226
File,"ListOrderedMapTest.java",1,531
File,"ListOrderedSet.java",1,411
File,"ListOrderedSet2Test.java",2,168
File,"ListOrderedSetTest.java",1,291
File,"ListUtils.java",1,699
File,"ListUtilsTest.java",1,478
File,"ListValuedMap.java",0,68
File,"LoopingIterator.java",1,128
File,"LoopingIteratorTest.java",1,202
File,"LoopingListIterator.java",1,263
File,"LoopingListIteratorTest.java",1,369
File,"MapBackedSet.java",1,180
File,"MapBackedSet2Test.java",2,91
File,"MapBackedSetTest.java",1,51
File,"MapIterator.java",0,111
File,"MapPerformance.java",1,183
File,"MapTransformer.java",1,87
File,"MapUtils.java",2,1805
File,"MapUtilsTest.java",1,1168
File,"MockTestCase.java",1,65
File,"MultiKey.java",1,280
File,"MultiKeyMap.java",2,909
File,"MultiKeyMapTest.java",2,479
File,"MultiKeyTest.java",1,298
File,"MultiMap.java",0,166
File,"MultiMapUtils.java",1,253
File,"MultiMapUtilsTest.java",2,160
File,"MultiSet.java",0,271
File,"MultiSetUtils.java",1,118
File,"MultiSetUtilsTest.java",1,129
File,"MultiValueMap.java",1,578
File,"MultiValueMapTest.java",1,482
File,"MultiValuedMap.java",0,321
File,"NOPClosure.java",1,70
File,"NOPTransformer.java",1,71
File,"NodeCachingLinkedList.java",1,250
File,"NodeCachingLinkedListTest.java",1,158
File,"NodeListIterator.java",1,90
File,"NodeListIteratorTest.java",1,137
File,"NonePredicate.java",2,102
File,"NotNullPredicate.java",1,71
File,"NotPredicate.java",1,85
File,"NullComparator.java",2,181
File,"NullIsExceptionPredicate.java",1,91
File,"NullIsFalsePredicate.java",1,89
File,"NullIsTruePredicate.java",1,89
File,"NullPredicate.java",1,71
File,"NullPredicateTest.java",1,42
File,"ObjectArrayIterator.java",1,178
File,"ObjectArrayIteratorTest.java",1,105
File,"ObjectArrayListIterator.java",1,199
File,"ObjectArrayListIterator2Test.java",1,57
File,"ObjectArrayListIteratorTest.java",2,117
File,"ObjectGraphIterator.java",2,254
File,"ObjectGraphIteratorTest.java",1,437
File,"ObjectToStringComparator.java",4,40
File,"OnePredicate.java",2,107
File,"OrPredicate.java",1,91
File,"OrderedBidiMap.java",0,51
File,"OrderedIterator.java",0,46
File,"OrderedMap.java",0,73
File,"OrderedMapIterator.java",0,47
File,"PassiveExpiringMap.java",1,539
File,"PassiveExpiringMapTest.java",1,261
File,"PatriciaTrie.java",1,73
File,"PatriciaTrie2Test.java",1,57
File,"PatriciaTrieTest.java",1,447
File,"PeekingIterator.java",2,161
File,"PeekingIteratorTest.java",1,144
File,"PermutationIterator.java",3,158
File,"PermutationIteratorTest.java",1,194
File,"Predicate.java",0,48
File,"PredicateDecorator.java",0,40
File,"PredicateTransformer.java",1,85
File,"PredicateUtils.java",1,539
File,"PredicateUtilsTest.java",1,722
File,"PredicatedBag.java",1,125
File,"PredicatedBagTest.java",1,137
File,"PredicatedCollection.java",1,443
File,"PredicatedCollectionBuilderTest.java",1,144
File,"PredicatedCollectionTest.java",1,136
File,"PredicatedList.java",1,193
File,"PredicatedListTest.java",1,150
File,"PredicatedMap.java",1,193
File,"PredicatedMapTest.java",1,142
File,"PredicatedMultiSet.java",1,137
File,"PredicatedMultiSetTest.java",1,137
File,"PredicatedNavigableSet.java",1,153
File,"PredicatedNavigableSetTest.java",1,133
File,"PredicatedQueue.java",1,123
File,"PredicatedQueueTest.java",1,119
File,"PredicatedSet.java",1,99
File,"PredicatedSetTest.java",1,125
File,"PredicatedSortedBag.java",1,108
File,"PredicatedSortedBagTest.java",1,114
File,"PredicatedSortedMap.java",1,135
File,"PredicatedSortedMapTest.java",1,189
File,"PredicatedSortedSet.java",1,128
File,"PredicatedSortedSetTest.java",1,133
File,"PrototypeFactory.java",2,208
File,"PushbackIterator.java",1,109
File,"PushbackIteratorTest.java",1,120
File,"Put.java",0,64
File,"QueueUtils.java",1,139
File,"QueueUtilsTest.java",2,120
File,"ReferenceIdentityMap.java",1,255
File,"ReferenceIdentityMapTest.java",1,332
File,"ReferenceMap.java",1,192
File,"ReferenceMapTest.java",1,351
File,"ReplacementsFinder.java",1,111
File,"ReplacementsHandler.java",0,51
File,"ResettableIterator.java",0,37
File,"ResettableListIterator.java",0,31
File,"ReverseComparator.java",1,124
File,"ReverseComparatorTest.java",1,96
File,"ReverseListIterator.java",1,186
File,"ReverseListIteratorTest.java",1,161
File,"SequencesComparator.java",2,347
File,"SequencesComparatorTest.java",2,236
File,"SetDefaultLocaleTestRule.java",1,58
File,"SetUniqueList.java",1,423
File,"SetUniqueListTest.java",1,630
File,"SetUtils.java",1,675
File,"SetUtilsTest.java",1,315
File,"SetValuedMap.java",0,66
File,"SingletonIterator.java",1,126
File,"SingletonIterator2Test.java",1,102
File,"SingletonIteratorTest.java",1,113
File,"SingletonListIterator.java",1,181
File,"SingletonListIteratorTest.java",1,140
File,"SingletonMap.java",1,607
File,"SingletonMapTest.java",1,187
File,"SkippingIterator.java",1,95
File,"SkippingIteratorTest.java",1,299
File,"SortedBag.java",0,52
File,"SortedBidiMap.java",0,58
File,"SortedProperties.java",2,51
File,"SortedPropertiesTest.java",3,38
File,"SplitMapUtils.java",1,271
File,"SplitMapUtilsTest.java",1,240
File,"StaticBucketMap.java",2,737
File,"StaticBucketMapTest.java",1,99
File,"StringKeyAnalyzer.java",2,135
File,"StringValueTransformer.java",1,71
File,"SwitchClosure.java",2,186
File,"SwitchTransformer.java",2,199
File,"SynchronizedBag.java",1,151
File,"SynchronizedBagTest.java",1,59
File,"SynchronizedCollection.java",1,231
File,"SynchronizedCollectionTest.java",1,65
File,"SynchronizedMultiSet.java",1,164
File,"SynchronizedMultiSetTest.java",1,59
File,"SynchronizedQueue.java",1,143
File,"SynchronizedQueueTest.java",1,63
File,"SynchronizedSortedBag.java",1,108
File,"TestUtils.java",1,83
File,"TiedMapEntry.java",2,139
File,"TiedMapEntryTest.java",1,85
File,"TransformIterator.java",1,146
File,"TransformedBag.java",1,148
File,"TransformedBagTest.java",1,100
File,"TransformedCollection.java",1,154
File,"TransformedCollectionTest.java",1,128
File,"TransformedList.java",1,211
File,"TransformedListTest.java",1,142
File,"TransformedMap.java",1,248
File,"TransformedMapTest.java",1,155
File,"TransformedMultiValuedMap.java",1,192
File,"TransformedMultiValuedMapTest.java",1,143
File,"TransformedNavigableSet.java",1,174
File,"TransformedNavigableSetTest.java",1,106
File,"TransformedPredicate.java",1,108
File,"TransformedQueue.java",1,139
File,"TransformedQueueTest.java",1,115
File,"TransformedSet.java",1,114
