Kind,Name,AvgCyclomatic,CountLine
File,"CombinedEntity.java",1,122
File,"CommonCookieAttributeHandler.java",0,40
File,"ConcurrentCountMap.java",1,82
File,"ConditionalRequestBuilder.java",2,138
File,"Configurable.java",0,42
File,"ConfigurableHttpRequest.java",1,69
File,"ConnPoolSupport.java",3,76
File,"ConnectExec.java",5,277
File,"ConnectTimeoutException.java",1,91
File,"ConnectionBackoffStrategy.java",0,64
File,"ConnectionEndpoint.java",0,81
File,"ConnectionKeepAliveStrategy.java",0,70
File,"ConnectionShutdownException.java",1,47
File,"ConnectionSocketFactory.java",0,84
File,"ConscryptClientTlsStrategy.java",1,119
File,"ConsumableInputStream.java",1,58
File,"ContainsHeaderMatcher.java",1,74
File,"Content.java",1,87
File,"ContentBody.java",0,43
File,"ContentCompressionExec.java",3,154
File,"ContentDescriptor.java",0,82
File,"ContentResponseHandler.java",2,54
File,"Cookie.java",0,130
File,"CookieAttributeHandler.java",0,77
File,"CookieIdentityComparator.java",9,83
File,"CookieOrigin.java",1,96
File,"CookiePathComparator.java",3,85
File,"CookiePriorityComparator.java",2,68
File,"CookieRestrictionViolationException.java",1,58
File,"CookieSpec.java",0,93
File,"CookieSpecBase.java",2,143
File,"CookieSpecProvider.java",0,49
File,"CookieSpecSupport.java",1,83
File,"CookieSpecs.java",1,60
File,"CookieStore.java",0,69
File,"Credentials.java",0,44
File,"CredentialsProvider.java",0,54
File,"CredentialsStore.java",0,58
File,"DateUtils.java",2,333
File,"DecompressingEntity.java",1,109
File,"DefaultAsyncCacheInvalidator.java",2,265
File,"DefaultAsyncCacheRevalidator.java",1,166
File,"DefaultAsyncClientConnectionOperator.java",2,133
File,"DefaultAuthenticationStrategy.java",10,122
File,"DefaultBackoffStrategy.java",1,58
File,"DefaultCacheInvalidator.java",4,193
File,"DefaultCacheRevalidator.java",2,100
File,"DefaultClientTlsStrategy.java",1,110
File,"DefaultConnectionKeepAliveStrategy.java",4,75
File,"DefaultHostnameVerifier.java",2,319
File,"DefaultHttpClientConnectionOperator.java",6,207
File,"DefaultHttpRequestRetryHandler.java",1,169
File,"DefaultHttpResponseParserFactory.java",1,75
File,"DefaultManagedAsyncClientConnection.java",1,194
File,"DefaultManagedHttpClientConnection.java",1,187
File,"DefaultProxyRoutePlanner.java",1,65
File,"DefaultRedirectStrategy.java",5,132
File,"DefaultRoutePlanner.java",2,107
File,"DefaultSchemePortResolver.java",4,63
File,"DefaultServiceUnavailableRetryStrategy.java",2,100
File,"DefaultUserTokenHandler.java",3,96
File,"DeflateDecompressingEntity.java",1,60
File,"DeflateInputStream.java",1,160
File,"DeflateInputStreamFactory.java",1,63
File,"DigestScheme.java",3,470
File,"DigestSchemeFactory.java",1,50
File,"DistinguishedNameParser.java",2,131
File,"DnsResolver.java",0,64
File,"DomainType.java",1,38
File,"DummyBackend.java",1,65
File,"EchoHandler.java",4,97
File,"EhcacheHttpCacheStorage.java",1,150
File,"EntityBuilder.java",1,337
File,"ExecChain.java",2,71
File,"ExecChainElement.java",1,70
File,"ExecChainHandler.java",0,69
File,"ExecRuntime.java",0,159
File,"ExecSupport.java",1,51
File,"Executor.java",1,233
File,"ExponentialBackOffSchedulingStrategy.java",1,117
File,"FileBody.java",1,103
File,"FileResource.java",2,112
File,"FileResourceFactory.java",2,127
File,"FluentAsync.java",1,94
File,"FluentExecutor.java",1,75
File,"FluentQuickStart.java",1,45
File,"FluentRequests.java",1,66
File,"FluentResponseHandling.java",4,92
File,"Form.java",1,62
File,"FormBodyPart.java",1,71
File,"FormBodyPartBuilder.java",1,143
File,"FormBodyPartTest.java",1,45
File,"FutureRequestExecutionMetrics.java",1,156
File,"FutureRequestExecutionService.java",1,143
File,"GGSSchemeBase.java",2,260
File,"GZIPInputStreamFactory.java",1,64
File,"GzipCompressingEntity.java",1,83
File,"GzipDecompressingEntity.java",1,50
File,"Header.java",2,145
File,"HeaderConstants.java",0,79
File,"HeapResource.java",1,77
File,"HeapResourceFactory.java",1,68
File,"Http2AsyncClientBuilder.java",2,892
File,"Http2AsyncClientEventHandlerFactory.java",2,187
File,"Http2AsyncMainClientExec.java",1,187
File,"HttpAsyncCache.java",0,120
File,"HttpAsyncCacheInvalidator.java",0,82
File,"HttpAsyncCacheStorage.java",0,100
File,"HttpAsyncCacheStorageAdaptor.java",1,121
File,"HttpAsyncClient.java",0,74
File,"HttpAsyncClientBuilder.java",2,1025
File,"HttpAsyncClientCompatibilityTest.java",4,322
File,"HttpAsyncClientEventHandlerFactory.java",2,274
File,"HttpAsyncClients.java",1,308
File,"HttpAsyncMainClientExec.java",1,252
File,"HttpAuthenticator.java",8,384
File,"HttpBrowserCompatibleMultipart.java",1,78
File,"HttpCache.java",0,110
File,"HttpCacheCASOperation.java",0,51
File,"HttpCacheContext.java",1,72
File,"HttpCacheEntry.java",1,313
File,"HttpCacheEntryMatcher.java",3,108
File,"HttpCacheEntrySerializer.java",0,57
File,"HttpCacheInvalidator.java",0,83
File,"HttpCacheStorage.java",0,97
File,"HttpCacheStorageEntry.java",1,65
File,"HttpCacheSupport.java",6,138
File,"HttpCacheUpdateException.java",1,48
File,"HttpClient.java",0,215
File,"HttpClientBuilder.java",2,1031
File,"HttpClientCompatibilityTest.java",3,270
